"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.5273,14.866,66.522,-0.29819,0.0062262,-6.3808e-22,-2.8085e-19,60.752,-0.29819,14.866,66.522,0.020242,-0.01932,-2.8029e-21,1,13.208,64.008,0,0
5.5272,14.931,66.217,-0.29424,0.0064144,-3.4962e-21,9.9074e-20,60.43,-0.29424,14.931,66.217,0.020239,-0.01926,1.3832e-20,1,13.31,64.11,0,0
5.5271,14.996,65.911,-0.29029,0.0066027,4.4303e-22,2.3854e-19,60.109,-0.29029,14.996,65.911,0.020237,-0.0192,-2.1994e-21,1,13.411,64.211,0,0
5.5271,15.062,65.606,-0.28634,0.0067909,1.0742e-21,1.36e-19,59.788,-0.28634,15.062,65.606,0.020234,-0.01914,-1.8606e-21,1,13.513,64.313,0,0
5.527,15.127,65.301,-0.28239,0.0069791,3.8618e-22,-4.7398e-20,59.467,-0.28239,15.127,65.301,0.020232,-0.01908,7.7526e-22,1,13.614,64.414,0,0
5.5269,15.192,64.995,-0.27843,0.0071673,5.6379e-21,2.7397e-19,59.145,-0.27844,15.192,64.995,0.020229,-0.01902,1.8237e-21,1,13.716,64.516,0,0
5.5269,15.258,64.69,-0.27448,0.0073555,-1.1232e-21,-5.8121e-20,58.824,-0.27449,15.258,64.69,0.020227,-0.01896,-9.3514e-21,1,13.818,64.618,0,0
5.5268,15.323,64.385,-0.27053,0.0075438,-2.0631e-21,-4.2582e-20,58.503,-0.27053,15.323,64.385,0.020224,-0.0189,-2.7045e-21,1,13.919,64.719,0,0
5.5268,15.388,64.079,-0.26658,0.007732,2.24e-21,1.1654e-20,58.181,-0.26658,15.388,64.079,0.020222,-0.01884,4.4001e-21,1,14.021,64.821,0,0
5.5267,15.454,63.774,-0.26263,0.0079202,-4.1588e-22,-2.1327e-19,57.86,-0.26263,15.454,63.774,0.02022,-0.01878,1.3986e-21,1,14.122,64.922,0,0
5.5266,15.519,63.468,-0.25868,0.0081084,3.5705e-23,2.5696e-19,57.539,-0.25868,15.519,63.468,0.020217,-0.01872,-1.9208e-21,1,14.224,65.024,0,0
