"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.038831,1.694,6.8623e-09,17.003,153.51,-0.92976,7.8972e-05,-6.4799e-09,-4.8095e-05,146.3,-0.92976,17.003,153.51,0.57416,1,4.85,54.85,0,5
0.038824,1.6956,6.867e-09,17.009,153.29,-1.1246,0.00021757,-6.8462e-09,-4.89e-05,146.19,-1.1246,17.009,153.29,0.56939,1,4.9,54.9,0,5
0.038818,1.6971,6.8709e-09,17.015,153.06,-1.3196,0.000357,-7.1182e-09,-4.9697e-05,146.08,-1.3196,17.015,153.06,0.56463,1,4.95,54.95,0,5
0.038811,1.6986,6.8737e-09,17.022,152.84,-1.5146,0.00049726,-7.296e-09,-5.0487e-05,145.97,-1.5146,17.022,152.84,0.55986,1,5,55,0,5
0.038804,1.7002,6.8768e-09,16.997,152.67,-1.5395,0.0004199,-6.8998e-09,-5.0152e-05,145.82,-1.5395,16.997,152.67,0.5564,1,5.05,55.05,0,5
0.038797,1.7017,6.8796e-09,16.973,152.5,-1.5642,0.00035763,-6.5093e-09,-4.982e-05,145.68,-1.5642,16.973,152.5,0.55297,1,5.1,55.1,0,5
0.03879,1.7033,6.882e-09,16.948,152.33,-1.5894,0.00029743,-6.1288e-09,-4.9491e-05,145.54,-1.5894,16.948,152.33,0.54953,1,5.15,55.15,0,5
0.038784,1.7048,6.8842e-09,16.924,152.16,-1.615,0.00023932,-5.7584e-09,-4.9164e-05,145.39,-1.615,16.924,152.16,0.54609,1,5.2,55.2,0,5
0.038777,1.7064,6.886e-09,16.9,151.99,-1.641,0.00018328,-5.398e-09,-4.8841e-05,145.25,-1.641,16.9,151.99,0.54266,1,5.25,55.25,0,5
0.03877,1.7079,6.8875e-09,16.877,151.82,-1.6674,0.00012932,-5.0477e-09,-4.852e-05,145.11,-1.6674,16.877,151.82,0.53922,1,5.3,55.3,0,5
0.038764,1.7095,6.8886e-09,16.854,151.65,-1.6942,7.7444e-05,-4.7074e-09,-4.8203e-05,144.96,-1.6942,16.854,151.65,0.53578,1,5.35,55.35,0,5
0.038757,1.711,6.8894e-09,16.831,151.48,-1.7214,2.7641e-05,-4.3772e-09,-4.7888e-05,144.82,-1.7214,16.831,151.48,0.53235,1,5.4,55.4,0,5
0.03875,1.7125,6.8899e-09,16.808,151.31,-1.749,-2.0079e-05,-4.057e-09,-4.7577e-05,144.67,-1.749,16.808,151.31,0.52891,1,5.45,55.45,0,5
0.038743,1.7141,6.8901e-09,16.786,151.14,-1.777,-6.5721e-05,-3.7468e-09,-4.7268e-05,144.53,-1.777,16.786,151.14,0.52547,1,5.5,55.5,0,5
0.038737,1.7156,6.8899e-09,16.764,150.97,-1.8054,-0.00010928,-3.4467e-09,-4.6962e-05,144.39,-1.8054,16.764,150.97,0.52204,1,5.55,55.55,0,5
0.03873,1.7172,6.8895e-09,16.742,150.8,-1.8342,-0.00015077,-3.1566e-09,-4.666e-05,144.24,-1.8342,16.742,150.8,0.5186,1,5.6,55.6,0,5
0.038723,1.7187,6.8887e-09,16.72,150.63,-1.8634,-0.00019018,-2.8765e-09,-4.636e-05,144.1,-1.8634,16.72,150.63,0.51517,1,5.65,55.65,0,5
0.038717,1.7203,6.8875e-09,16.699,150.46,-1.893,-0.0002275,-2.6065e-09,-4.6064e-05,143.96,-1.893,16.699,150.46,0.51173,1,5.7,55.7,0,5
0.03871,1.7218,6.886e-09,16.678,150.29,-1.923,-0.00026275,-2.3466e-09,-4.577e-05,143.82,-1.923,16.678,150.29,0.50829,1,5.75,55.75,0,5
0.038704,1.7234,6.8842e-09,16.658,150.12,-1.9534,-0.00029592,-2.0966e-09,-4.5479e-05,143.67,-1.9534,16.658,150.12,0.50486,1,5.8,55.8,0,5
0.038697,1.7249,6.8821e-09,16.637,149.95,-1.9843,-0.00032701,-1.8568e-09,-4.5191e-05,143.53,-1.9843,16.637,149.95,0.50142,1,5.85,55.85,0,5
0.03869,1.7264,6.8797e-09,16.617,149.78,-2.0155,-0.00035603,-1.6269e-09,-4.4907e-05,143.39,-2.0155,16.617,149.78,0.49798,1,5.9,55.9,0,5
0.038684,1.728,6.8769e-09,16.597,149.61,-2.0471,-0.00038296,-1.4071e-09,-4.4625e-05,143.24,-2.0471,16.597,149.61,0.49455,1,5.95,55.95,0,5
0.038677,1.7295,6.8738e-09,16.578,149.44,-2.0791,-0.00040782,-1.1973e-09,-4.4346e-05,143.1,-2.0791,16.578,149.44,0.49111,1,6,56,0,5
0.038671,1.7311,6.8704e-09,16.558,149.26,-2.1116,-0.00043059,-9.9757e-10,-4.407e-05,142.96,-2.1116,16.558,149.26,0.48768,1,6.05,56.05,0,5
0.038664,1.7326,6.8666e-09,16.539,149.09,-2.1444,-0.00045129,-8.0788e-10,-4.3797e-05,142.82,-2.1444,16.539,149.09,0.48424,1,6.1,56.1,0,5
0.038658,1.7342,6.8625e-09,16.521,148.92,-2.1777,-0.00046991,-6.282e-10,-4.3527e-05,142.67,-2.1777,16.521,148.92,0.4808,1,6.15,56.15,0,5
0.038651,1.7357,6.8581e-09,16.502,148.75,-2.2113,-0.00048646,-4.5858e-10,-4.326e-05,142.53,-2.2113,16.502,148.75,0.47737,1,6.2,56.2,0,5
